RCP_SNO,RCP_TTL,CKG_NM,RGTR_ID,RGTR_NM,INQ_CNT,RCMM_CNT,SRAP_CNT,CKG_MTH_ACTO_NM,CKG_STA_ACTO_NM,CKG_MTRL_ACTO_NM,CKG_KND_ACTO_NM,CKG_IPDC,CKG_MTRL_CN,CKG_INBUN_NM,CKG_DODF_NM,CKG_TIME_NM,FIRST_REG_DT,RCP_IMG_URL
7034388,소갈비찜 간단 레시피 류수영 소갈비찜 만드는법 편스토랑 어남선생 소갈비 양념 만들기,소갈비찜,pinkhut,예꿈이댁,3150,0,9,찜,명절,소고기,메인반찬,소갈비찜은 생일이나 명절에 인기가 제일 좋은 메뉴가 아닐까 싶은데요. 류수영 님의 평생갈비찜 레시피로 만들었더니 압력솥 없이 냄비로 만들어도 야들야들 고기가 부드럽고 간장갈비찜 양념도 쏙 배어들어서 맛있더라구요 :) 뚜아자매는 갈비뼈 발골을 몇개나 했는지 폭풍흡입을! '소갈비찜이 내 스타일이야~' 라며 엄지척을 해 주었다지유!ㅎㅎㅎ 갈비찜은 데치는 과정과 양념장 준비가 번거로운 편인데요. 류수영 님 레시피는 그러한 단점을 보완한 간단 레시피라 많은분들께서 선호하실만하겠더라구요 ​과일을 갈아서 양념장에 넣는 대신에 갈아만든배 주스를 사용하였으며.​ 대파  양파  다진마늘을 볶아서 양념장을 만들기 때문에 감칠맛이 좋은 갈비찜 양념을 완성하실 수 있답니다 ​데치는 과정을 생략하고 맛간장에 고기를 넣고 끓여주는 것도 특징인데요. 부드러운 갈비찜을 먹기 위해 물론 1시간 끓여주는 과정이 있기는 하지만 기존 소갈비보다 훨씬 간단하게 만들 수 있었어요 :) 류수영님은 2kg을 기준으로 만드셨고 예꿈이댁은 한끼 먹을 분량만 만들기 위해서 양을 반으로 줄여서 소갈비찜 1kg 분량으로 만들어 봤어요 2kg 원 레시피는 제가 적어드리는 것에서 모든 재료의 양을 두배 한 것과 같으니 참고해 보시구요. ​편스토랑 어남선생 갈비찜 레시피는 양념장 재료가 종이컵 계량으로 나와요 이때 200ml를 기준으로 하면 짠맛이 강할 수 있어서 180ml 종이컵 기준으로 양념을 넣어주어야 짜지 않고 더 맛있게 드실 수 있어요 :),"[재료] 소갈비 찜용1kg, 무우1토막(250g), 양파1/2개, 대파1대, 풋고추1개 [양념재료] 식용유1바퀴, 다진마늘2T, 다진생강1/4T(생략가능), 설탕1/4컵(45ml), 진간장1/2컵(90ml), 참치액1.5T, 맛술1/2컵(90ml), 식초2.5T, 갈아만든배1/2캔(120ml), 물400ml",4.0,초급,90.0,20240912131530,https://recipe1.ezmember.co.kr/cache/recipe/2024/09/12/d4b487ae3f896ff2c118e861928059af1.jpg
7022417,실패없는 바싹 제육볶음 황금레시피 / 제육볶음 양념장 ,제육볶음,41426574,홈메이커,1657,0,5,볶음,일상,돼지고기,메인반찬,저희 집 최애 메뉴인 제육볶음입니다^^ 얇은 돼지고기를 바삭하게 볶아 내는 레시피인데요~ 손님들이 왔을 때 차려내어도 반응이 좋은 제육볶음레시피입니다^^,"[재료] 돼지고기 앞다리살636g [양념장 ] 고춧가루6T, 간장4T, 올리고당3.5T, 다진 마늘3T, 미림2T, 생강술1T, 소금1/2t, 통깨1T, 후추15바퀴",4.0,초급,30.0,20240318093448,https://recipe1.ezmember.co.kr/cache/recipe/2024/03/18/1691cb46ea6ae77581d504feed3723b81.jpg
7036064,쫄깃 매콤 맛있는 가지볶음 만들기,가지볶음,69711080,오늘반찬,452,0,1,볶음,일상,채소류,밑반찬,밑반찬으로 두고 먹어도 물이 생기지 않아요. 건강에도 좋고 쫄깃쫄깃 맛있는 가지볶음입니다.,"[재료] 가지5개, 고추5개, 양파1/2개 [양념] 물100ml, 천일염2/3T, 고추기름2T(혹은 식용유), 다진마늘1T, 다진대파3T, 간장3T, 굴소스1T, 후추톡톡, 볶은참깨약간",,아무나,30.0,20241008210646,https://recipe1.ezmember.co.kr/cache/recipe/2024/10/08/6161db50c876a9d58b50414f643b19b11.jpg
7037701,편스토랑 이상우 냉제육,냉제육,dal031,잔근육,443,0,4,삶기,손님접대,육류,메인반찬,이상우의 5시간 냉제육은 10분 동안 삶고 1시간 레스팅 후 4시 간 냉장 숙성 후 썰어주면 완성 됩니다.간단한 레시피로 근사한 요리가됩니다.담백하고 부드럽 고 촉촉해 당근김치와 잘 어울립니다.,"[재료] 돼지고기 통앞다리살1Kg, 물3리터, 소금1T",4.0,초급,,20241102183234,https://recipe1.ezmember.co.kr/cache/recipe/2024/11/02/d0b93fe63204eac0ed64f8272ba4ccee1.jpg
7035185,애호박두부부침 1개 밥대신 드셔도 든든합니다 ‼️,애호박두부부침,80802273,아임레시피,97,0,1,부침,일상,채소류,기타,애호박 1개 990원 착한 가격에 2개나 집어왔어요~ 조금 색다르게 먹으면 어떨까? 싶어 만들어 본 애호박두부부침! 쉽게 만들어보세요 ^^,"[재료] 애호박1개, 두부1/2모, 라이스페이퍼6장 [재료] 진간장1작은술, 참기름1작은술, 소금1/3작은술, 전분가루1/2큰술, 후추",2.0,아무나,,20240925084914,https://recipe1.ezmember.co.kr/cache/recipe/2024/09/25/233815023185ebd0e063087c1fcf52fa1.jpg
7025876,직장인 도시락 메뉴 1인 도시락 반찬 메뉴 도시락 싸기 점심 도시락 추천 메뉴 ( 2 ),도시락,41426574,홈메이커,876,0,6,기타,도시락,기타,기타,요즘 점심 도시락 싸시는 분들 많으시더라구요. 도시락 메뉴 정하기가 참 힘들잖아요~ 메뉴 선정에 조금이라도 도움을 드리면 좋을 거 같아서 도시락 시리즈를 올려 보기로 했답니다.^^,"[재료] 쌀밥, 전복초(전복조림), 고추장삼겹살구이, 스팸감자조림, 숙주나물, 과일",1.0,초급,60.0,20240507213327,https://recipe1.ezmember.co.kr/cache/recipe/2024/05/07/9ef1f86a10ab4d02a8e652dcfed74e891.jpg
7027801,마늘쫑 고추장 무침 간단 레시피~,마늘쫑고추장무침,47368804,남해랑,100,0,1,무침,일상,채소류,밑반찬,아이들 어릴적엔 마늘쫑 새우랑 볶아서먹었는데 아이들이 크니 이젠 고추장무침으로 맛나게 먹는답니다~~,"[재료] 마늘쫑1묶음 [양념] 고추장1스푼, 고추가루2스푼, 간장3스푼, 설탕2스푼, 식초3스푼, 매실4스푼, 참기름2스푼",2.0,초급,15.0,20240607191032,https://recipe1.ezmember.co.kr/cache/recipe/2024/06/07/ded489a5c78c17e155ac2290eb9ee00c1.jpg
7029002,새콤달콤하고 식감 좋은 오이양파무침레시피,오이양파무침,32061214,햇살머금은집,106,0,3,무침,기타,채소류,메인반찬,고추장으로 휘리릭 무쳐서 든든한 반찬 오이양파무침 만들기 해 볼께요.,"[재료] 양파2개, 고추장2t, 고춧가루1t, 설탕1t, 식초2t, 통깨1t, 소금1/2t",4.0,초급,10.0,20240624124205,https://recipe1.ezmember.co.kr/cache/recipe/2024/06/24/31634948e4d6d097f62a3960fccfe12f1.jpg
7029402,그리운 친정엄마  만원 이하로 차린 추억의 밥상,호박잎쌈,hskim4127,홈쿡쌤,149,0,1,볶음,일상,채소류,메인반찬,어릴때 친정 엄마가 해 주던 음식이 그리워지는 비오는 주말  만원 이하로 차린 추억의 밥상입니다.,"[호박잎쌈] 호박잎1팩, 쌈장약간 [고추잎나물] 고추잎250g, 마늘1숟가락, 멸치액젓2숟가락, 참기름, 깨소금, 굵은소금약간 [가지나물] 가지1개, 양파1/2개, 홍초1개, 마늘1숟가락, 멸치액젓1숟가락, 육수1숟가락, 참기름, 깨소금, 식용유약간",,초급,,20240629224756,https://recipe1.ezmember.co.kr/cache/recipe/2024/06/29/913fc242a8a014d208bc88fac9bd024d1.jpg
7039921,돼지고기 대패 삼겹살 숙주볶음 레시피 굴소스 양념 숙주나물볶음,대패삼겹살숙주볶음,77721145,써지니,96,0,3,볶음,일상,돼지고기,메인반찬,짝꿍과 함께 장을 보다가 짝꿍이 돼지고기 대패 삼겹살 숙주볶음이 먹고 싶다고 하여 만들었어요.,"[재료] 대패 삼겹살150~200g, 숙주나물200g, 청경채25g, 당근18g, 대파25g, 다진 마늘0.7큰술, 굴소스1큰술, 진간장1.3큰술, 올리고당1큰술, 올리브오일2큰술, 소금1~2꼬집, 홍고추약간(고명용), 후추톡톡톡, 통깨솔솔솔",2.0,아무나,,20241205065738,https://recipe1.ezmember.co.kr/cache/recipe/2024/12/05/1a55569c6f7c25619e5591290eab9e731.jpg
